*Frequency 	VF1-abs (dB)	VF1-phase (deg)
10	-75.7546546989378	105.435899035695
11.2201845430196	-74.6754619235231	107.213281428859
12.5892541179417	-73.5777696445156	109.167407487977
14.1253754462275	-72.4578193689479	111.305807041978
15.8489319246111	-71.3113627150993	113.632769149484
17.7827941003892	-70.1337235766771	116.148171457157
19.9526231496888	-68.919923163854	118.846283734334
22.3872113856834	-67.6648777657109	121.714705946442
25.1188643150958	-66.3636687246379	124.733652884231
28.1838293126445	-65.0118682213069	127.875816193319
31.6227766016838	-63.6058858307585	131.106994427559
35.4813389233575	-62.1432852085268	134.38756877193
39.8107170553497	-60.623014890603	137.674730716245
44.6683592150963	-59.0455071470394	140.92518584176
50.1187233627272	-57.4126234827732	144.097930745812
56.2341325190349	-55.7274573396812	147.15667981647
63.0957344480193	-53.9940327662888	150.071613726335
70.7945784384138	-52.2169531227069	152.82029245985
79.4328234724282	-50.4010532739107	155.387757413527
89.1250938133746	-48.5510956915734	157.765983084159
100	-46.6715323636465	159.952903174533
112.201845430196	-44.7663369344907	161.95123432636
125.892541179417	-42.8388988934058	163.767276970479
141.253754462275	-40.8919647666209	165.40981326337
158.489319246111	-38.9276090670303	166.889165890014
177.827941003892	-36.9472184042962	168.216438210354
199.526231496888	-34.9514739392907	169.402927811665
223.872113856834	-32.9403189950845	170.459689752653
251.188643150958	-30.9128992360775	171.397218855781
281.838293126446	-28.8674617327583	172.225218550787
316.227766016838	-26.8011957059964	172.952423811767
354.813389233575	-24.7099906149359	173.586444963919
398.107170553497	-22.5880743244132	174.133594766682
446.683592150963	-20.4274710737777	174.598649140415
501.187233627272	-18.2171771886701	174.984464427513
562.341325190349	-15.9418735554202	175.291313954018
630.957344480193	-13.5798365666377	175.515671980429
707.945784384138	-11.099373861706	175.647852383441
794.328234724282	-8.45233359626534	175.667072977301
891.250938133746	-5.56122984098604	175.530051460603
1000	-2.29056467256174	175.140663459809
1122.01845430196	1.62868299090676	174.25032691431
1258.92541179417	6.85895580034235	171.99324147178
1412.53754462275	15.9715693627115	162.156772630099
1584.89319246111	20.5697296458886	23.9490569259354
1778.27941003892	11.1977844686484	6.26237335058546
1995.26231496888	7.45058483047166	3.25374919115075
2238.72113856834	5.3104694447667	2.06308311581246
2511.88643150958	3.91933404512442	1.44410571354034
2818.38293126446	2.9533621051814	1.07405224243305
3162.27766016838	2.25570263159834	0.832722343430879
3548.13389233576	1.73876900730896	0.665504147894491
3981.07170553497	1.34894939791821	0.544237221453078
4466.83592150963	1.05127528289076	0.453071064336789
5011.87233627273	0.821867200291553	0.382492521831796
5623.41325190349	0.643852854722296	0.326504194083517
6309.57344480194	0.504999445343391	0.281174013028181
7079.45784384138	0.396260774903371	0.243839052352476
7943.28234724282	0.310844003005074	0.212645048130455
8912.50938133746	0.243587196606099	0.18626861319221
10000	0.190531007854624	0.163743786176439
11220.1845430196	0.148616180355581	0.14435059561505
12589.2541179417	0.115465256344334	0.127541735068559
14125.3754462276	0.0892222018836442	0.112893323112815
15848.9319246111	0.0684328290938612	0.100071246343646
17782.7941003892	0.0519545480165493	0.0888077873303257
19952.6231496888	0.0388875744686799	0.0788851570263752
22387.2113856834	0.0285220671610596	0.0701237308634707
25118.8643150958	0.0202972383633491	0.062373531032337
28183.8293126446	0.0137695581052286	0.0555079755028755
31622.7766016838	0.00858792384840901	0.0494192272671552
35481.3389233575	0.00447420312704635	0.0440146852703213
39810.7170553497	0.00120794455660912	0.0392142985067614
44668.3592150963	-0.00138566223090799	0.0349484800666928
50118.7233627272	-0.00344528480152152	0.0311564634099567
56234.1325190349	-0.00508095142446576	0.0277849885208087
63095.7344480194	-0.00637998540628927	0.0247872372679314
70794.5784384139	-0.00741170258834087	0.0221219595457297
79432.8234724282	-0.00823113242592769	0.0197527475090673
89125.0938133746	-0.00888196726763049	0.0176474264067432
100000	-0.00939890096112932	0.0157775385360767
112201.845430196	-0.00980948388670436	0.0141179026187567
125892.541179417	-0.0101355948201526	0.0126462350944137
141253.754462276	-0.0103946090248717	0.0113428229006534
158489.319246112	-0.0106003254198531	0.0101902395778709
177827.941003892	-0.010763702603276	0.00917309823180609
199526.231496888	-0.0108934431827823	0.00827783616549437
223872.113856834	-0.0109964576910743	0.0074925269707087
251188.643150958	-0.0110782328935789	0.00680671662689581
281838.293126445	-0.0111431241659263	0.00621128075116663
316227.766016838	-0.0111945875518858	0.00569830061906635
354813.389233575	-0.0112353638851687	0.00526095596053764
398107.170553498	-0.0112676247964677	0.00489343285209228
446683.592150963	-0.0112930883914298	0.00459084528928701
501187.233627273	-0.0113131107664428	0.00434916924450031
562341.325190349	-0.0113287582401775	0.00416518820151725
630957.344480195	-0.0113408641506653	0.00403644931553396
707945.784384138	-0.0113500732450116	0.00396122947735424
794328.234724283	-0.0113568760281881	0.00393851066458307
891250.938133745	-0.0113616349029955	0.00396796403829616
1000000	-0.0113646034973514	0.00404994228666561
 
